"GeneID","CoefficientTraining"
"INPP5F",-5.00277687167028e-05
"ALDH1A2",-4.99991508262853e-05
"PAPSS2",-4.99067827198008e-05
"INSR",-4.97985353638734e-05
"FAS",-4.97773536301327e-05
"ICMT",-4.97449636858184e-05
"RPS12",-4.96449877943884e-05
"RB1",-4.96159464110332e-05
"KTN1",-4.95966486896225e-05
"TNFSF15",-4.95540187739732e-05
"SRSF6",-4.94334036096835e-05
"NAAA",-4.93774881864205e-05
"KLHL25",-4.93545413700981e-05
"DFNA5",-4.92591783218955e-05
"TNIP2",-4.92029641531492e-05
"ZNF571",-4.91764937363685e-05
"MTHFD2L",-4.89965472235485e-05
"RAB11FIP5",-4.89035608473901e-05
"PTK2B",-4.88359737706561e-05
"AKAP9",-4.878440195378e-05
"DKK1",-4.87837181864938e-05
"WDR41",-4.86534530302919e-05
"ARAP2",-4.86477562975033e-05
"PIAS3",-4.8593907560461e-05
"EPS15",-4.8557701534978e-05
"UBA1",-4.85397783631108e-05
"GAS6",-4.85037494971689e-05
"ELK1",-4.8498762817975e-05
"RMND1",-4.84850613195401e-05
"CDKN1A",-4.83610105494796e-05
"FBXO41",-4.8354611062081e-05
"ATP6V1G1",-4.83491290398564e-05
"LIN7C",-4.82902225115642e-05
"IZUMO4",-4.82752637036564e-05
"UPP1",-4.82423324564118e-05
"PI4KB",-4.82275844101018e-05
"CELSR3",-4.81516131853501e-05
"GUF1",-4.81196255034259e-05
"FANCL",-4.80668925515908e-05
"RNF219",-4.80650026447134e-05
"FTSJ1",-4.80307481702421e-05
"KLHL36",-4.79938799451816e-05
"VEGFD",-4.79459992847704e-05
"PPP1CB",-4.79311182131263e-05
"ITGB1",-4.78300244405316e-05
"LRRC6",-4.77643241191453e-05
"GCHFR",-4.77243737080343e-05
"FTO",-4.77131682942666e-05
"ALKBH4",-4.76485179583973e-05
"CX3CR1",-4.76384772351377e-05
"CTSA",-4.76278882163139e-05
"SLC27A6",-4.75968354367386e-05
"AGBL5",-4.75892691381814e-05
"CSDC2",-4.75473279110835e-05
"DCTD",-4.74135024414996e-05
"PPFIBP2",-4.74124622378552e-05
"KLF10",-4.73393091979566e-05
"DUSP11",-4.7180343704512e-05
"TRHDE",-4.71278519960923e-05
"ZFYVE21",-4.70679557461475e-05
"AMMECR1",-4.70530239541156e-05
"RHOBTB3",-4.70240486649783e-05
"ABCF3",-4.70206122353302e-05
"HNRNPC",-4.69442657343474e-05
"MAP3K5",-4.69136292638788e-05
"NOL3",-4.68165932292695e-05
"MVP",-4.68133156901268e-05
"RNF128",-4.67848548833247e-05
"KLHL12",-4.67765628346846e-05
"TSPAN9",-4.67661906527831e-05
"STS",-4.67366533950876e-05
"OGFOD1",-4.67043880176343e-05
"PHTF2",-4.65703651383718e-05
"DCLRE1A",-4.64491360441526e-05
"ATPAF2",-4.64306457106316e-05
"GGT1",-4.63994715291864e-05
"PEX13",-4.63793753870409e-05
"DPY19L1",-4.63285636399491e-05
"COG2",-4.63025231701015e-05
"APBA3",-4.62983858249557e-05
"YIPF2",-4.62377066065484e-05
"ACSL1",-4.62248746819615e-05
"GALT",-4.62236302671088e-05
"NAT6",-4.62097708194053e-05
"DNAJC13",-4.61286983590465e-05
"LUM",-4.61120168948877e-05
